Instance,Lambda,V,K,M*,OPT,Sec
CapEuclideo.100.200.9.2,9,100,200,76,8830,2956
CapEuclideo.100.200.9.3,9,100,200,72,8342,757
CapEuclideo.100.200.9.4,9,100,200,68,8485,439
CapEuclideo.100.200.9.5,9,100,200,72,8745,449
CapEuclideo.100.200.95.1,95,100,200,46,4733,16697
CapEuclideo.100.200.95.2,95,100,200,49,4658,3146
CapEuclideo.100.200.95.3,95,100,200,45,4333,8114
CapEuclideo.100.200.95.4,95,100,200,48,5096,5690
CapEuclideo.100.200.95.5,95,100,200,50,5115,18160
CapEuclideo.100.200.99.1,99,100,200,22,2508,6932
CapEuclideo.100.200.99.2,99,100,200,29,2901,522
CapEuclideo.100.200.99.3,99,100,200,24,2267,509
CapEuclideo.100.200.99.4,99,100,200,26,2987,1245
CapEuclideo.100.200.99.5,99,100,200,22,2685,293
CapEuclideo.150.50.1.1,1,150,50,150,125418,81
CapEuclideo.150.50.1.2,1,150,50,150,125650,32
CapEuclideo.150.50.1.3,1,150,50,150,143310,668
CapEuclideo.150.50.1.4,1,150,50,146,135503,305
CapEuclideo.150.50.1.5,1,150,50,149,126023,26
CapEuclideo.150.50.5.1,5,150,50,145,43115,38
CapEuclideo.150.50.5.2,5,150,50,149,42669,42
CapEuclideo.150.50.5.3,5,150,50,149,47455,679
CapEuclideo.150.50.5.4,5,150,50,150,45556,224
CapEuclideo.150.50.5.5,5,150,50,150,41937,38
CapEuclideo.150.50.7.1,7,150,50,133,20264,95
CapEuclideo.150.50.7.2,7,150,50,133,19621,971
CapEuclideo.150.50.7.3,7,150,50,132,20671,29
CapEuclideo.150.50.7.4,7,150,50,126,20472,174
CapEuclideo.150.50.7.5,7,150,50,140,19554,109
CapEuclideo.150.50.8.1,8,150,50,102,12448,250
CapEuclideo.150.50.8.2,8,150,50,103,11817,653
CapEuclideo.150.50.8.3,8,150,50,114,12538,561
CapEuclideo.150.50.8.4,8,150,50,112,12622,516
CapEuclideo.150.50.8.5,8,150,50,113,11711,324
CapEuclideo.150.50.9.1,9,150,50,57,5360,90
CapEuclideo.150.50.9.2,9,150,50,62,5571,2066
CapEuclideo.150.50.9.3,9,150,50,68,6097,2770
CapEuclideo.150.50.9.4,9,150,50,65,6152,650
CapEuclideo.150.50.9.5,9,150,50,62,5886,18033
CapEuclideo.150.50.95.1,95,150,50,35,2986,1331
CapEuclideo.150.50.95.2,95,150,50,34,3031,4915
CapEuclideo.150.50.95.3,95,150,50,37,3214,5654
CapEuclideo.150.50.95.4,95,150,50,37,3633,12987
CapEuclideo.150.50.95.5,95,150,50,34,3337,18005
CapEuclideo.150.50.99.1,99,150,50,13,1894,365
CapEuclideo.150.50.99.2,99,150,50,17,1477,353
CapEuclideo.150.50.99.3,99,150,50,15,1171,1267
CapEuclideo.150.50.99.4,99,150,50,12,1345,262
CapEuclideo.150.50.99.5,99,150,50,16,1322,807
CapEuclideo.150.100.1.1,1,150,100,150,223506,103
CapEuclideo.150.100.1.2,1,150,100,150,239549,56
CapEuclideo.150.100.1.3,1,150,100,148,263750,163
CapEuclideo.150.100.1.4,1,150,100,150,276734,312
CapEuclideo.150.100.1.5,1,150,100,150,246932,40
CapEuclideo.150.100.5.1,5,150,100,150,72000,110
CapEuclideo.150.100.5.2,5,150,100,150,76195,43
CapEuclideo.150.100.5.3,5,150,100,149,82063,987
CapEuclideo.150.100.5.4,5,150,100,150,86567,253
CapEuclideo.150.100.5.5,5,150,100,150,76916,48
CapEuclideo.150.100.7.1,7,150,100,148,30171,99
CapEuclideo.150.100.7.2,7,150,100,148,31253,37
CapEuclideo.150.100.7.3,7,150,100,150,32784,431
CapEuclideo.150.100.7.4,7,150,100,144,34829,1335
CapEuclideo.150.100.7.5,7,150,100,150,31308,104
CapEuclideo.150.100.8.1,8,150,100,129,17015,408
CapEuclideo.150.100.8.2,8,150,100,136,17357,172
CapEuclideo.150.100.8.3,8,150,100,137,17798,271
CapEuclideo.150.100.8.4,8,150,100,137,18661,159
CapEuclideo.150.100.8.5,8,150,100,138,17407,218
CapEuclideo.150.100.9.1,9,150,100,88,7922,4513
CapEuclideo.150.100.9.2,9,150,100,92,8090,11029
CapEuclideo.150.100.9.3,9,150,100,90,7988,18148
CapEuclideo.150.100.9.4,9,150,100,86,8267,7317
CapEuclideo.150.100.9.5,9,150,100,87,7918,666
CapEuclideo.150.100.95.1,95,150,100,60,4456,18086
CapEuclideo.150.100.95.2,95,150,100,53,4602,18093
CapEuclideo.150.100.95.3,95,150,100,49,4293,18044
CapEuclideo.150.100.95.4,95,150,100,53,4655,12111
CapEuclideo.150.100.95.5,95,150,100,48,4577,18023
CapEuclideo.150.100.99.1,99,150,100,24,1710,871
CapEuclideo.150.100.99.2,99,150,100,23,2222,1602
CapEuclideo.150.100.99.3,99,150,100,18,1544,477
CapEuclideo.150.100.99.4,99,150,100,25,2316,18005
CapEuclideo.150.100.99.5,99,150,100,20,2140,2608
CapEuclideo.150.150.1.1,1,150,150,150,344600,129
CapEuclideo.150.150.1.2,1,150,150,150,354253,57
CapEuclideo.150.150.1.3,1,150,150,150,389949,999
CapEuclideo.150.150.1.4,1,150,150,150,404653,286
CapEuclideo.150.150.1.5,1,150,150,150,358584,46
CapEuclideo.150.150.5.1,5,150,150,150,107462,117
CapEuclideo.150.150.5.2,5,150,150,150,109451,62
CapEuclideo.150.150.5.3,5,150,150,145,117511,3997
CapEuclideo.150.150.5.4,5,150,150,150,124302,355
CapEuclideo.150.150.5.5,5,150,150,150,108948,43
CapEuclideo.150.150.7.1,7,150,150,150,41916,131
CapEuclideo.150.150.7.2,7,150,150,143,42012,42
CapEuclideo.150.150.7.3,7,150,150,150,44216,1244
CapEuclideo.150.150.7.4,7,150,150,150,47464,376
CapEuclideo.150.150.7.5,7,150,150,150,41680,60
CapEuclideo.150.150.8.1,8,150,150,124,21094,5086
CapEuclideo.150.150.8.2,8,150,150,147,21862,169
CapEuclideo.150.150.8.3,8,150,150,147,22499,3881
CapEuclideo.150.150.8.4,8,150,150,143,23852,81
CapEuclideo.150.150.8.5,8,150,150,135,21378,450
CapEuclideo.150.150.9.1,9,150,150,102,9518,18162
CapEuclideo.150.150.9.2,9,150,150,104,9478,1878
CapEuclideo.150.150.9.3,9,150,150,107,9456,1559
CapEuclideo.150.150.9.4,9,150,150,97,9609,1201
CapEuclideo.150.150.9.5,9,150,150,99,9398,1587
CapEuclideo.150.150.95.1,95,150,150,59,4789,18063
CapEuclideo.150.150.95.2,95,150,150,57,5099,18037
CapEuclideo.150.150.95.3,95,150,150,60,5037,18072
CapEuclideo.150.150.95.4,95,150,150,62,5271,18052
CapEuclideo.150.150.95.5,95,150,150,59,5662,18042
CapEuclideo.150.150.99.1,99,150,150,20,1702,1255
CapEuclideo.150.150.99.2,99,150,150,29,2547,2734
CapEuclideo.150.150.99.3,99,150,150,31,2596,10836
CapEuclideo.150.150.99.4,99,150,150,26,2202,18005
CapEuclideo.150.150.99.5,99,150,150,25,2828,9990
CapEuclideo.150.200.1.1,1,150,200,150,483201,187
CapEuclideo.150.200.1.2,1,150,200,150,468101,74
CapEuclideo.150.200.1.3,1,150,200,150,523733,1205
CapEuclideo.150.200.1.4,1,150,200,150,530511,432
CapEuclideo.150.200.1.5,1,150,200,150,499070,59
CapEuclideo.150.200.5.1,5,150,200,150,146821,164
CapEuclideo.150.200.5.2,5,150,200,150,142406,73
CapEuclideo.150.200.5.3,5,150,200,150,156032,1047
CapEuclideo.150.200.5.4,5,150,200,150,161572,393
CapEuclideo.150.200.5.5,5,150,200,150,150057,52
CapEuclideo.150.200.7.1,7,150,200,150,54207,130
CapEuclideo.150.200.7.2,7,150,200,150,53007,75
CapEuclideo.150.200.7.3,7,150,200,150,56585,1486
CapEuclideo.150.200.7.4,7,150,200,150,59935,364
CapEuclideo.150.200.7.5,7,150,200,150,55194,52
CapEuclideo.150.200.8.1,8,150,200,150,26334,148
CapEuclideo.150.200.8.2,8,150,200,149,25936,58
CapEuclideo.150.200.8.3,8,150,200,149,27300,1049
CapEuclideo.150.200.8.4,8,150,200,148,29012,1097
CapEuclideo.150.200.8.5,8,150,200,149,27271,130
CapEuclideo.150.200.9.1,9,150,200,111,10195,1297
CapEuclideo.150.200.9.2,9,150,200,121,10553,16868
CapEuclideo.150.200.9.3,9,150,200,116,10463,3124
CapEuclideo.150.200.9.4,9,150,200,123,11346,7731
CapEuclideo.150.200.9.5,9,150,200,114,10875,516
CapEuclideo.150.200.95.1,95,150,200,67,5176,18141
CapEuclideo.150.200.95.2,95,150,200,73,5682,18041
CapEuclideo.150.200.95.3,95,150,200,69,5354,18042
CapEuclideo.150.200.95.4,95,150,200,74,5866,18077
CapEuclideo.150.200.95.5,95,150,200,72,6067,18047
CapEuclideo.150.200.99.1,99,150,200,29,2073,888
CapEuclideo.150.200.99.2,99,150,200,29,2943,1892
CapEuclideo.150.200.99.3,99,150,200,33,2256,15729
CapEuclideo.150.200.99.4,99,150,200,31,2590,18007
CapEuclideo.150.200.99.5,99,150,200,31,2905,4111
CapEuclideo.200.50.1.1,1,200,50,200,184696,489
CapEuclideo.200.50.1.2,1,200,50,200,169938,173
CapEuclideo.200.50.1.3,1,200,50,200,195103,2378
CapEuclideo.200.50.1.4,1,200,50,200,179172,7334
CapEuclideo.200.50.1.5,1,200,50,200,173355,80
CapEuclideo.200.50.5.1,5,200,50,200,61360,845
CapEuclideo.200.50.5.2,5,200,50,198,55908,179
CapEuclideo.200.50.5.3,5,200,50,200,62520,2761
CapEuclideo.200.50.5.4,5,200,50,200,58952,18464
CapEuclideo.200.50.5.5,5,200,50,189,56235,1772
CapEuclideo.200.50.7.1,7,200,50,188,27212,1261
CapEuclideo.200.50.7.2,7,200,50,185,24546,3666
CapEuclideo.200.50.7.3,7,200,50,194,26644,4916
CapEuclideo.200.50.7.4,7,200,50,187,26090,19406
CapEuclideo.200.50.7.5,7,200,50,185,24813,244
CapEuclideo.200.50.8.1,8,200,50,148,15555,13870
CapEuclideo.200.50.8.2,8,200,50,135,13874,2721
CapEuclideo.200.50.8.3,8,200,50,158,15714,281
CapEuclideo.200.50.8.4,8,200,50,155,15354,1835
CapEuclideo.200.50.8.5,8,200,50,157,14749,1455
CapEuclideo.200.50.9.1,9,200,50,84,7340,1720
CapEuclideo.200.50.9.2,9,200,50,84,6402,1015
CapEuclideo.200.50.9.3,9,200,50,88,6805,1497
CapEuclideo.200.50.9.4,9,200,50,88,7277,5510
CapEuclideo.200.50.9.5,9,200,50,95,7008,1080
CapEuclideo.200.50.95.1,95,200,50,57,3963,18041
CapEuclideo.200.50.95.2,95,200,50,43,3486,18013
CapEuclideo.200.50.95.3,95,200,50,50,3548,1998
CapEuclideo.200.50.95.4,95,200,50,48,4111,18028
CapEuclideo.200.50.95.5,95,200,50,53,3806,18006
CapEuclideo.200.50.99.1,99,200,50,21,1425,3805
CapEuclideo.200.50.99.2,99,200,50,17,1137,2411
CapEuclideo.200.50.99.3,99,200,50,20,1446,2875
CapEuclideo.200.50.99.4,99,200,50,22,2237,4167
CapEuclideo.200.50.99.5,99,200,50,24,2351,18007
CapEuclideo.200.100.1.1,1,200,100,197,328659,2239
CapEuclideo.200.100.1.2,1,200,100,200,345088,336
CapEuclideo.200.100.1.3,1,200,100,200,344957,2229
CapEuclideo.200.100.1.4,1,200,100,200,347295,12352
CapEuclideo.200.100.1.5,1,200,100,200,316743,148
CapEuclideo.200.100.5.1,5,200,100,200,102850,813
CapEuclideo.200.100.5.2,5,200,100,200,107166,128
CapEuclideo.200.100.5.3,5,200,100,200,105480,1870
CapEuclideo.200.100.5.5,5,200,100,200,97634,172
CapEuclideo.200.100.7.1,7,200,100,200,40444,2863
CapEuclideo.200.100.7.2,7,200,100,200,41831,465
CapEuclideo.200.100.7.3,7,200,100,191,40733,1408
CapEuclideo.200.100.8.1,8,200,100,184,21655,2818
CapEuclideo.200.100.8.2,8,200,100,175,21527,708
CapEuclideo.200.100.8.3,8,200,100,191,21614,1555
CapEuclideo.200.100.8.4,8,200,100,190,22537,753
CapEuclideo.200.100.8.5,8,200,100,184,20970,18863
CapEuclideo.200.100.9.1,9,200,100,125,9262,1275
CapEuclideo.200.100.9.2,9,200,100,122,9042,4051
